Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R
108,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
109,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
110,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
111,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
112,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
113,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
114,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
115,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
116,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
117,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
118,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
119,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
120,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
121,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
123,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
125,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
126,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
127,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
128,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
129,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
130,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
134,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
138,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
139,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
141,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
142,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
143,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
144,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
145,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
146,Grassland,Water,Water,Water,Water,NULL,NULL,Water
147,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
151,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
158,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
159,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
161,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
162,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
165,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
169,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
