Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
