Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Cropland,0,77,280,0,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Wetland,96,371,0,10,0,188,198,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Forest,176,0,0,23,23,155,215,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Cropland,0,328,0,98,45,151,269,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Water,165,508,0,32,195,0,178,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Shrubland,1,31,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Built-up,204,106,0,69,3,45,38,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Bareland,16,15,0,0,1,17,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYR_M_R,Grassland,165,269,0,9,21,70,0,0,0,0,0,0
