Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
