Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R
16314,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
16315,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
16316,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
16317,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
16318,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
16319,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
16320,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
16321,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
16322,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
16323,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
16324,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
16325,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
16326,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
16327,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
16328,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
16329,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
16330,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
16331,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
16332,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
16333,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
16334,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
16335,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
16336,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
16337,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
16338,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
16339,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
16340,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
16341,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Cropland
16342,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
16343,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
16344,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
16345,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
16346,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
16347,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
16348,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
16349,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
16350,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Cropland
16351,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
16352,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
16353,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
16354,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Cropland
16355,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
16356,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
16357,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
16358,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
16359,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
16360,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
16361,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
16362,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
16363,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
16364,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
16365,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
16366,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
16367,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
16368,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
16369,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
