Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
